,Data,Estacao,Poluente,Valor
0,01/01/2020,Capão Redondo,MP10,28.74
1,01/01/2020,Capão Redondo,O3,51.56
2,01/01/2020,Cerqueira César,CO,842.17
3,01/01/2020,Cerqueira César,MP10,30.09
4,01/01/2020,Cerqueira César,NO2,14.55
5,01/01/2020,Cerqueira César,SO2,0.48
6,01/01/2020,Congonhas,CO,645.53
7,01/01/2020,Congonhas,NO2,29.65
8,01/01/2020,Congonhas,SO2,1.26
9,01/01/2020,Ibirapuera,MP2.5,26.48
10,01/01/2020,Interlagos,MP10,37.39
11,01/01/2020,Interlagos,NO2,16.36
12,01/01/2020,Interlagos,O3,54.09
13,01/01/2020,Interlagos,SO2,1.4
14,01/01/2020,Itaim Paulista,MP10,45.96
15,01/01/2020,Itaim Paulista,MP2.5,32.78
16,01/01/2020,Itaim Paulista,NO2,11.91
17,01/01/2020,Itaim Paulista,O3,54.55
18,01/01/2020,Itaquera,O3,54.86
19,01/01/2020,Mooca,CO,547.89
20,01/01/2020,Mooca,MP2.5,22.83
21,01/01/2020,Mooca,O3,56.87
22,01/01/2020,Nossa Senhora do Ó,MP10,38.83
23,01/01/2020,Nossa Senhora do Ó,O3,49.87
24,01/01/2020,Parque Dom Pedro II,CO,406.85
25,01/01/2020,Parque Dom Pedro II,MP10,35.61
26,01/01/2020,Parque Dom Pedro II,MP2.5,29.74
27,01/01/2020,Parque Dom Pedro II,NO2,20.91
28,01/01/2020,Parque Dom Pedro II,O3,50.3
29,01/01/2020,Perus,MP10,20.26
30,01/01/2020,Perus,O3,70.74
31,01/01/2020,Pinheiros,CO,520.76
32,01/01/2020,Pinheiros,MP10,33.17
33,01/01/2020,Pinheiros,MP2.5,6.11
34,01/01/2020,Pinheiros,NO2,18.35
35,01/01/2020,Pinheiros,O3,40.57
36,01/01/2020,Pinheiros,SO2,3.0
37,01/01/2020,Santana,MP2.5,44.7
38,01/01/2020,Santana,O3,52.85
39,01/01/2020,Santo Amaro,CO,408.33
40,01/01/2020,Santo Amaro,MP10,32.35
41,01/01/2020,Santo Amaro,O3,42.45
42,02/01/2020,Capão Redondo,MP10,12.67
43,02/01/2020,Capão Redondo,O3,33.13
44,02/01/2020,Cerqueira César,CO,547.58
45,02/01/2020,Cerqueira César,MP10,16.33
46,02/01/2020,Cerqueira César,NO2,24.09
47,02/01/2020,Cerqueira César,SO2,0.13
48,02/01/2020,Congonhas,CO,727.8
49,02/01/2020,Congonhas,NO2,48.54
50,02/01/2020,Congonhas,SO2,0.79
51,02/01/2020,Ibirapuera,MP2.5,4.62
52,02/01/2020,Interlagos,MP10,13.5
53,02/01/2020,Interlagos,NO2,22.78
54,02/01/2020,Interlagos,O3,40.52
55,02/01/2020,Itaim Paulista,MP10,15.25
56,02/01/2020,Itaim Paulista,MP2.5,7.12
57,02/01/2020,Itaim Paulista,NO2,15.48
58,02/01/2020,Itaim Paulista,O3,44.78
59,02/01/2020,Itaquera,O3,41.09
60,02/01/2020,Mooca,CO,509.46
61,02/01/2020,Mooca,MP2.5,9.54
62,02/01/2020,Mooca,O3,39.96
63,02/01/2020,Nossa Senhora do Ó,MP10,12.0
64,02/01/2020,Nossa Senhora do Ó,O3,39.0
65,02/01/2020,Parque Dom Pedro II,CO,301.52
66,02/01/2020,Parque Dom Pedro II,MP10,15.21
67,02/01/2020,Parque Dom Pedro II,MP2.5,9.75
68,02/01/2020,Parque Dom Pedro II,NO2,29.88
69,02/01/2020,Parque Dom Pedro II,O3,33.88
70,02/01/2020,Perus,MP10,15.61
71,02/01/2020,Perus,O3,68.06
72,02/01/2020,Pinheiros,CO,530.26
73,02/01/2020,Pinheiros,MP10,16.04
74,02/01/2020,Pinheiros,MP2.5,7.8
75,02/01/2020,Pinheiros,NO2,30.67
76,02/01/2020,Pinheiros,O3,25.75
77,02/01/2020,Santana,MP2.5,9.54
78,02/01/2020,Santana,O3,36.62
79,02/01/2020,Santo Amaro,CO,504.49
80,02/01/2020,Santo Amaro,MP10,14.96
81,02/01/2020,Santo Amaro,O3,26.3
82,03/01/2020,Capão Redondo,MP10,6.96
83,03/01/2020,Capão Redondo,O3,30.43
84,03/01/2020,Cerqueira César,CO,271.23
85,03/01/2020,Cerqueira César,MP10,7.46
86,03/01/2020,Cerqueira César,NO2,7.04
87,03/01/2020,Cerqueira César,SO2,0.0
88,03/01/2020,Congonhas,CO,665.42
89,03/01/2020,Congonhas,MP10,12.17
90,03/01/2020,Congonhas,MP2.5,6.7
91,03/01/2020,Congonhas,NO2,42.88
92,03/01/2020,Congonhas,SO2,0.88
93,03/01/2020,Ibirapuera,MP2.5,3.92
94,03/01/2020,Interlagos,MP10,6.75
